selected,confidence,class_session_id,student_class_id,campus_id,session_date,iso_dow,status,current_start,current_end,contract_start,contract_end,classify_reason,detection_reason
0,high_confidence,3266,403,9,2026-04-23,4,leave,20:00,22:00,18:00,20:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,4790,591,3,2026-05-09,6,leave,17:00,19:00,13:00,15:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,6392,717,3,2026-04-25,6,leave,15:00,17:00,10:00,12:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,6393,717,3,2026-05-09,6,scheduled,15:00,17:00,10:00,12:00,scheduled_sibling_of_leave_on_same_course,foreign_weekday_clock_on_target_date
0,high_confidence,6395,717,3,2026-05-16,6,scheduled,15:00,17:00,10:00,12:00,scheduled_sibling_of_leave_on_same_course,foreign_weekday_clock_on_target_date
0,high_confidence,8359,963,3,2026-06-03,3,leave,20:30,22:30,18:00,20:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,14483,1792,3,2026-06-27,6,leave,20:00,22:00,10:00,12:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,19527,1792,3,2026-07-11,6,scheduled,20:00,22:00,10:00,12:00,scheduled_sibling_of_leave_on_same_course,foreign_weekday_clock_on_target_date
0,high_confidence,15514,1925,13,2026-05-24,7,leave,13:00,15:00,19:00,21:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,22056,1966,13,2026-07-17,5,leave,17:00,19:00,19:00,21:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,17292,2139,11,2026-07-03,5,leave,20:00,22:00,18:00,20:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,19519,2198,11,2026-07-12,7,leave,18:00,20:00,13:00,15:00,leave_row_foreign_clock,foreign_weekday_clock_on_target_date
0,high_confidence,25011,2198,11,2026-07-26,7,scheduled,18:00,20:00,13:00,15:00,scheduled_sibling_of_leave_on_same_course,foreign_weekday_clock_on_target_date
0,high_confidence,17823,2203,11,2026-07-11,6,leave,18:00,20:00,10:00,12:00,"leave_row_foreign_clock,reciprocal_weekday_clock_swap_pattern",foreign_weekday_clock_on_target_date
0,high_confidence,17824,2203,11,2026-07-16,4,leave,10:00,12:00,18:00,20:00,"leave_row_foreign_clock,reciprocal_weekday_clock_swap_pattern",foreign_weekday_clock_on_target_date
0,high_confidence,23653,2203,11,2026-07-23,4,scheduled,10:00,12:00,18:00,20:00,"scheduled_sibling_of_leave_on_same_course,reciprocal_weekday_clock_swap_pattern",foreign_weekday_clock_on_target_date
0,high_confidence,20489,2418,11,2026-07-04,6,leave,10:00,12:00,18:00,20:00,"leave_row_foreign_clock,reciprocal_weekday_clock_swap_pattern",foreign_weekday_clock_on_target_date
0,high_confidence,20490,2418,11,2026-07-11,6,leave,10:00,12:00,18:00,20:00,"leave_row_foreign_clock,reciprocal_weekday_clock_swap_pattern",foreign_weekday_clock_on_target_date
0,high_confidence,25032,2418,11,2026-07-30,4,scheduled,18:00,20:00,10:00,12:00,"scheduled_sibling_of_leave_on_same_course,reciprocal_weekday_clock_swap_pattern",foreign_weekday_clock_on_target_date
